node_index,DAT_m,PCE_m,error_m,error_mm
64,1.5732259112,1.5735821910581462,-0.00035627985814623564,-35.627985814623564
65,1.7930122474999999,1.7944425949796863,-0.0014303474796864002,-143.03474796864003
66,1.7062049620999997,1.7082234416672197,-0.0020184795672200107,-201.84795672200107
67,1.35811640995,1.3598626668649716,-0.0017462569149715446,-174.62569149715446
68,0.7888313850800001,0.7903697314424942,-0.0015383463624941696,-153.83463624941695
69,0.11333303033454002,0.11372717859128448,-0.00039414825674445597,-39.414825674445595
70,-0.46002806393,-0.45979782820191983,-0.00023023572808017478,-23.023572808017477
71,-0.84197191091,-0.8411220493099549,-0.0008498616000450765,-84.98616000450765
72,-1.0571949129500002,-1.0554842717770028,-0.0017106411729974624,-171.06411729974624
73,-1.12973869026,-1.1282632424231624,-0.0014754478368375068,-147.54478368375067
74,-1.08925390747,-1.087654620764201,-0.0015992867057990079,-159.9286705799008
75,-0.9631249074900002,-0.9613200919539704,-0.0018048155360298468,-180.4815536029847
76,-0.7383120880399999,-0.7353200425939633,-0.0029920454460365953,-299.20454460365954
77,-0.42268003777000007,-0.4212720170505383,-0.0014080207194617778,-140.80207194617776
78,-0.08520435927264002,-0.08296093794435927,-0.0022434213282807453,-224.3421328280745
79,0.268370379985,0.26984494875962034,-0.0014745687746203218,-147.45687746203217
80,0.6889422481999999,0.6903833008332555,-0.0014410526332555573,-144.10526332555574
81,0.9180985931199999,0.9183487463743836,-0.0002501532543837115,-25.01532543837115
82,0.72903600298,0.7290750553045375,-3.9052324537491856e-05,-3.9052324537491856
83,0.36231924785999997,0.3630935991608441,-0.0007743513008441338,-77.43513008441339
84,0.030250257778072602,0.030753385774084128,-0.0005031279960115258,-50.31279960115258
85,-0.24487207513000006,-0.24451099260079734,-0.000361082529202722,-36.1082529202722
86,-0.46506887514,-0.46476962279327255,-0.00029925234672745216,-29.925234672745216
87,-0.6351362804199999,-0.6356045753481379,0.0004682949281379356,46.829492813793564
88,-0.7562874168600001,-0.7573160998908528,0.001028683030852684,102.8683030852684
89,-0.8264816571500001,-0.8270840826568578,0.00060242550685774,60.242550685774
